"region_id","typhoon_no","typhoon_name","year","ty_label","mean","lower","upper"
37,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.15666838792653,-0.0956397873757197,0.418439484417133
37,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",0.191375357457849,-0.116620535197805,0.511482284247345
37,"2018239N11161","JEBI",2018,"2018-JEBI",0.596085341743587,-0.0044367059271697,1.2247115329263
37,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.238567466460172,-0.145189028485559,0.637928685859836
37,"2019216N16147","KROSA",2019,"2019-KROSA",0.29138399824649,-0.17684498672603,0.779979885896672
38,"2011192N18158","MA-ON",2011,"2011-MA-ON",0.622001945263925,-0.299772383316532,1.57556067107592
38,"2011236N15143","TALAS",2011,"2011-TALAS",0.549487264748729,-0.265015380845788,1.3914275573789
38,"2014209N12152","HALONG",2014,"2014-HALONG",0.572791047628396,-0.275967092568918,1.45111480726371
38,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.661151454707359,-0.318115634997318,1.6759651394414
38,"2015188N08194","HALOLA",2015,"2015-HALOLA",0.422882445228433,-0.204355391035063,1.06989402563494
38,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",0.520072474844033,-0.250626870599462,1.31741751146805
38,"2017252N14147","TALIM",2017,"2017-TALIM",0.494452150273451,-0.238298344254128,1.25247497445189
38,"2018239N11161","JEBI",2018,"2018-JEBI",0.448113402165149,-0.216268506171664,1.13438430062864
38,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.540202273260791,-0.260233569186254,1.36863051682596
38,"2019216N16147","KROSA",2019,"2019-KROSA",0.582612155101701,-0.280166432284092,1.47725154239501
38,"2019260N20129","TAPAH",2019,"2019-TAPAH",0.344709044387275,-0.166585933542547,0.872097793328595
39,"2011192N18158","MA-ON",2011,"2011-MA-ON",0.286418404076962,-1.02614330628877,1.57171370088784
39,"2011236N15143","TALAS",2011,"2011-TALAS",0.242657650915102,-0.873523836789741,1.33218676862404
39,"2011253N20145","ROKE",2011,"2011-ROKE",0.237187609078578,-0.941966652093681,1.53573090903919
39,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.184274258350406,-0.670335807845886,1.01269805527851
39,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.158517941514556,-0.577551267099259,0.871287768498493
39,"2014209N12152","HALONG",2014,"2014-HALONG",0.292737257392126,-1.04200029670647,1.6054051623543
39,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.295413333967003,-1.05215277640646,1.62017150127143
39,"2015188N08194","HALOLA",2015,"2015-HALOLA",1.39892143093359,-0.976820018082097,3.7280965626649
39,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",0.256590448042457,-0.915509943660727,1.40748595680453
39,"2017182N15132","NANMADOL",2017,"2017-NANMADOL",0.181033431893689,-0.655516186560456,0.994436232087915
39,"2017200N26162","NORU",2017,"2017-NORU",0.153972639016058,-0.560002407806778,0.846156704767226
39,"2017252N14147","TALIM",2017,"2017-TALIM",0.246757007565031,-0.880015611251515,1.35348703857996
39,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",0.135685499189056,-0.494365093467849,0.745790510558062
39,"2018239N11161","JEBI",2018,"2018-JEBI",0.270487996462496,-0.898176728045096,1.49349139696443
39,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.249727895014957,-0.891847794757402,1.3699617873598
39,"2019216N16147","KROSA",2019,"2019-KROSA",0.235085594716022,-0.83888980411257,1.28954026276386
40,"2013274N18152","DANAS",2013,"2013-DANAS",1.4015371909755,-1.30565171010967,4.23934400913196
40,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",1.26221001453835,-1.17756055536346,3.81621920538499
